FINESS_Etab;Nom_court;Code_postal;Commune;Public_ou_prive;Lat;Long
220000368;CENTRE HOSPITALIER LANNION;22303;LANNION;Public;48.780642;-3.234364
220000483;CHCB SITE LOUDEAC;22606;LOUDEAC;Public;48.172261;-2.753746
220000541;CENTRE HOSPITALIER PAIMPOL;22501;PAIMPOL;Public;48.773214;-3.034000
220000566;CHPP SITE LAMBALLE;22405;LAMBALLE;Public;48.491800;-2.514652
220000574;CHPP SITE QUINTIN;22800;QUINTIN;Public;48.407265;-2.916815
220001259;CENTRE HOSPITALIER TREGUIER;22220;TREGUIER;Public;48.783214;-3.223200
220006522;CENTRE DE PLANIFICATION;22501;PAIMPOL;Public;48.774654;-3.047879
220012884;CENTRE REEDUC TRESTEL;22660;TREVOU TREGUIGNEC;Public;48.821545;-3.349573
220019061;SSR GERIATRIQUE;22000;ST BRIEUC;Public;48.512356;-2.771905
220020101;UDM DE LANNION;22303;LANNION;Public;48.748795;-3.469365
220020119;UDM DE PAIMPOL;22501;PAIMPOL;Public;48.774654;-3.047879
220022149;UDM SITE CH GUINGAMP;22200;GUINGAMP;Public;48.565727;-3.145365
230000820;CENTRE HOSPITALIER GUERET;23011;GUERET;Public;46.163925;1.869220
230000838;CENTRE HOSPITALIER D'AUBUSSON;23200;AUBUSSON;Public;45.960046;2.183671
230000846;C H BERNARD DESPLAS  BOURGANEUF;23400;BOURGANEUF;Public;45.953496;1.750954
230000952;CTRE HOSPITALIER MOYEN SEJOUR EVAUX;23110;EVAUX LES BAINS;Public;46.178177;2.489476
230000960;CTRE HOSPITAL MOYEN SEJOUR SOUTERRAINE;23300;LA SOUTERRAINE;Public;46.236146;1.481998
230004004;CIDAG DU VIH ET DES HEPATITES;23000;GUERET;Public;46.164965;1.871131
230004657;SITE CROIX BLANCHE;23200;MOUTIER ROZEILLE;Public;45.940257;2.171887
230004889;CH GUERET - SITE CROIX BLANCHE;23200;MOUTIER ROZEILLE;Public;45.940257;2.171887
230004897;CHU LIMOGES - SITE CH GUERET;23011;GUERET;Public;46.171794;1.875015
230780082;CENTRE MEDICAL NATIONAL SAINTE FEYRE;23000;STE FEYRE;ESPIC;46.140348;1.886586
240000091;CH DE LANMARY;24420;ANTONNE ET TRIGONANT;Public;45.241051;0.814768
240000174;CENTRE HOSPITALIER DE BELVES;24170;PAYS DE BELVES;Public;44.776097;1.009325
240000372;C.H DE BERGERAC;24108;BERGERAC;Public;44.835656;0.482954
240000414;CENTRE HOSPITALIER DE DOMME;24250;DOMME;Public;44.803356;1.215026
240000455;CENTRE HOSPITALIER D'EXCIDEUIL;24160;EXCIDEUIL;Public;45.336330;1.052250
240000471;CENTRE HOSPITALIER DE NONTRON;24300;NONTRON;Public;45.528232;0.665105
240000489;CENTRE HOSPITALIER DE PERIGUEUX;24019;PERIGUEUX;Public;45.194359;0.729937
240000505;CHIC RDD MEDECINE DE RIBERAC;24600;RIBERAC;Public;45.245722;0.340987
